year,region,population,percentage
2017,Awdal,673264,66
2017,Bakool,367227,40
2017,Banadir,1650228,51
2017,Bari,730147,55
2017,Bay,792182,44
2017,Galgaduud,569434,27
2017,Gedo,508403,49
2017,Hiraan,520686,36
2017,Middle Juba,362921,59
2017,Lower Juba,489307,51
2017,Mudug,717862,40
2017,Nugaal,392698,60
2017,Sanaag,544123,43
2017,Middle Shabelle,516035,61
2017,Lower Shabelle,1202219,59
2017,Sool,327427,36
2017,Togdheer,721363,48
2017,Woqooyi Galbeed,1242003,54
2018,Awdal,673264,60
2018,Bakool,367227,65
2018,Banadir,1650228,59
2018,Bari,730147,53
2018,Bay,792182,51
2018,Galgaduud,569434,50
2018,Gedo,508402,66
2018,Hiraan,520686,65
2018,Middle Juba,362922,66
2018,Lower Juba,489307,61
2018,Mudug,717863,55
2018,Nugaal,392697,70
2018,Sanaag,544124,64
2018,Middle Shabelle,516035,76
2018,Lower Shabelle,1202220,72
2018,Sool,327427,38
2018,Togdheer,721364,55
2018,Woqooyi Galbeed,1242003,53
2019,Awdal,673264,50
2019,Bakool,367227,54
2019,Banadir,1650228,82
2019,Bari,730147,65
2019,Bay,792182,59
2019,Galgaduud,569434,54
2019,Gedo,508402,49
2019,Hiraan,520686,57
2019,Middle Juba,362922,63
2019,Lower Juba,489307,70
2019,Mudug,717862,61
2019,Nugaal,392697,69
2019,Sanaag,544124,54
2019,Middle Shabelle,516035,64
2019,Lower Shabelle,1202220,65
2019,Sool,327427,40
2019,Togdheer,721364,52
2019,Woqooyi Galbeed,1242003,50
2020,Awdal,724573,64
2020,Bakool,284353,78
2020,Banadir,2228463,73
2020,Bari,712934,61
2020,Bay,846600,65
2020,Galgaduud,427809,66
2020,Gedo,430943,64
2020,Hiraan,422993,75
2020,Middle Juba,648936,72
2020,Lower Juba,911502,77
2020,Mudug,286538,70
2020,Nugaal,436759,76
2020,Sanaag,627723,63
2020,Middle Shabelle,337588,58
2020,Lower Shabelle,562067,62
2020,Sool,360432,68
2020,Togdheer,755793,76
2020,Woqooyi Galbeed,8524530,67
2021,Awdal,538209,68
2021,Bakool,459747,74
2021,Banadir,2683312,73
2021,Bari,1042591,64
2021,Bay,1055913,59
2021,Galgaduud,687573,55
2021,Gedo,736704,53
2021,Hiraan,427124,65
2021,Middle Juba,979997,65
2021,Lower Juba,1347934,73
2021,Mudug,363930,65
2021,Nugaal,855895,69
2021,Sanaag,1243526,59
2021,Middle Shabelle,534573,56
2021,Lower Shabelle,362723,62
2021,Sool,464487,57
2021,Togdheer,728224,45
2021,Woqooyi Galbeed,1224715,68
2022,Awdal,571229,58
2022,Bakool,492486,44
2022,Banadir,2874431,55
2022,Bari,1102759,51
2022,Bay,1287587,10
2022,Galgaduud,689871,37
2022,Gedo,936411,56
2022,Hiraan,420061,51
2022,Lower Juba,1038602,65
2022,Lower Shabelle,1425396,71
2022,Middle Juba,366852,66
2022,Middle Shabelle,961554,56
2022,Mudug,1319241,36
2022,Nugaal,572137,36
2022,Sanaag,325136,45
2022,Sool,478266,44
2022,Togdheer,780090,39
2022,Woqooyi Galbeed,1313147,51
